"","date","mean_temp"
"1",2015-01-01,27
"2",2015-01-02,35
"3",2015-01-03,28
"4",2015-01-04,41
"5",2015-01-05,33
"6",2015-01-06,16
"7",2015-01-07,17
"8",2015-01-08,10
"9",2015-01-09,25
"10",2015-01-10,21
"11",2015-01-11,23
"12",2015-01-12,36
"13",2015-01-13,23
"14",2015-01-14,20
"15",2015-01-15,27
"16",2015-01-16,27
"17",2015-01-17,16
"18",2015-01-18,38
"19",2015-01-19,39
"20",2015-01-20,33
"21",2015-01-21,27
"22",2015-01-22,32
"23",2015-01-23,31
"24",2015-01-24,32
"25",2015-01-25,32
"26",2015-01-26,20
"27",2015-01-27,16
"28",2015-01-28,18
"29",2015-01-29,21
"30",2015-01-30,30
"31",2015-01-31,16
"32",2015-02-01,20
"33",2015-02-02,18
"34",2015-02-03,14
"35",2015-02-04,27
"36",2015-02-05,25
"37",2015-02-06,13
"38",2015-02-07,24
"39",2015-02-08,22
"40",2015-02-09,17
"41",2015-02-10,22
"42",2015-02-11,20
"43",2015-02-12,22
"44",2015-02-13,14
"45",2015-02-14,16
"46",2015-02-15,14
"47",2015-02-16,8
"48",2015-02-17,16
"49",2015-02-18,24
"50",2015-02-19,22
"51",2015-02-20,12
"52",2015-02-21,20
"53",2015-02-22,33
"54",2015-02-23,22
"55",2015-02-24,10
"56",2015-02-25,26
"57",2015-02-26,20
"58",2015-02-27,20
"59",2015-02-28,21
"60",2015-03-01,25
"61",2015-03-02,31
"62",2015-03-03,26
"63",2015-03-04,39
"64",2015-03-05,30
"65",2015-03-06,17
"66",2015-03-07,28
"67",2015-03-08,33
"68",2015-03-09,39
"69",2015-03-10,39
"70",2015-03-11,47
"71",2015-03-12,36
"72",2015-03-13,30
"73",2015-03-14,34
"74",2015-03-15,35
"75",2015-03-16,35
"76",2015-03-17,38
"77",2015-03-18,26
"78",2015-03-19,26
"79",2015-03-20,27
"80",2015-03-21,33
"81",2015-03-22,31
"82",2015-03-23,25
"83",2015-03-24,27
"84",2015-03-25,37
"85",2015-03-26,46
"86",2015-03-27,41
"87",2015-03-28,35
"88",2015-03-29,32
"89",2015-03-30,37
"90",2015-03-31,43
"91",2015-04-01,39
"92",2015-04-02,46
"93",2015-04-03,53
"94",2015-04-04,46
"95",2015-04-05,39
"96",2015-04-06,39
"97",2015-04-07,39
"98",2015-04-08,37
"99",2015-04-09,35
"100",2015-04-10,43
"101",2015-04-11,52
"102",2015-04-12,52
"103",2015-04-13,56
"104",2015-04-14,59
"105",2015-04-15,58
"106",2015-04-16,51
"107",2015-04-17,56
"108",2015-04-18,51
"109",2015-04-19,46
"110",2015-04-20,44
"111",2015-04-21,57
"112",2015-04-22,56
"113",2015-04-23,46
"114",2015-04-24,43
"115",2015-04-25,45
"116",2015-04-26,48
"117",2015-04-27,51
"118",2015-04-28,50
"119",2015-04-29,51
"120",2015-04-30,49
"121",2015-05-01,45
"122",2015-05-02,44
"123",2015-05-03,54
"124",2015-05-04,66
"125",2015-05-05,64
"126",2015-05-06,63
"127",2015-05-07,66
"128",2015-05-08,56
"129",2015-05-09,54
"130",2015-05-10,74
"131",2015-05-11,63
"132",2015-05-12,60
"133",2015-05-13,62
"134",2015-05-14,57
"135",2015-05-15,59
"136",2015-05-16,62
"137",2015-05-17,60
"138",2015-05-18,52
"139",2015-05-19,58
"140",2015-05-20,60
"141",2015-05-21,57
"142",2015-05-22,63
"143",2015-05-23,55
"144",2015-05-24,67
"145",2015-05-25,70
"146",2015-05-26,74
"147",2015-05-27,74
"148",2015-05-28,74
"149",2015-05-29,64
"150",2015-05-30,74
"151",2015-05-31,62
"152",2015-06-01,48
"153",2015-06-02,47
"154",2015-06-03,51
"155",2015-06-04,54
"156",2015-06-05,55
"157",2015-06-06,59
"158",2015-06-07,59
"159",2015-06-08,64
"160",2015-06-09,69
"161",2015-06-10,72
"162",2015-06-11,76
"163",2015-06-12,72
"164",2015-06-13,73
"165",2015-06-14,69
"166",2015-06-15,57
"167",2015-06-16,61
"168",2015-06-17,65
"169",2015-06-18,65
"170",2015-06-19,69
"171",2015-06-20,64
"172",2015-06-21,66
"173",2015-06-22,66
"174",2015-06-23,76
"175",2015-06-24,76
"176",2015-06-25,72
"177",2015-06-26,66
"178",2015-06-27,64
"179",2015-06-28,57
"180",2015-06-29,62
"181",2015-06-30,68
"182",2015-07-01,70
"183",2015-07-02,72
"184",2015-07-03,69
"185",2015-07-04,66
"186",2015-07-05,73
"187",2015-07-06,74
"188",2015-07-07,75
"189",2015-07-08,79
"190",2015-07-09,66
"191",2015-07-10,69
"192",2015-07-11,76
"193",2015-07-12,81
"194",2015-07-13,73
"195",2015-07-14,72
"196",2015-07-15,73
"197",2015-07-16,64
"198",2015-07-17,68
"199",2015-07-18,70
"200",2015-07-19,79
"201",2015-07-20,84
"202",2015-07-21,76
"203",2015-07-22,76
"204",2015-07-23,73
"205",2015-07-24,71
"206",2015-07-25,65
"207",2015-07-26,70
"208",2015-07-27,76
"209",2015-07-28,75
"210",2015-07-29,82
"211",2015-07-30,82
"212",2015-07-31,80
